2026-06-11 09:44:21 | WARNING | inference.M1_fraude | Segment moyen : artefacts absents (ignoré)
2026-06-11 09:44:21 | WARNING | inference.M1_fraude | Segment eleve : artefacts absents (ignoré)
2026-06-11 09:44:21 | WARNING | inference.M1_fraude | Segment technique : artefacts absents (ignoré)
2026-06-11 09:44:21 | ERROR   | pipeline | ❌ m1_fraude : [M1_fraude] RuntimeError: Aucun modèle de segment chargé pour M1.
2026-06-11 09:44:21 | INFO    | inference.M2_mules | M2 chargé : scaler + params
2026-06-11 09:45:10 | INFO    | inference.M2_mules | Scoring terminé : 500 alertes en 48.4s
2026-06-11 09:45:10 | INFO    | inference.M2_mules | Exports : ['M2_mules_alertes.csv', 'M2_mules_scores.parquet', 'M2_mules_stats.json']
2026-06-11 09:45:10 | INFO    | monitoring.metrics | [m2_mules] n_alertes=500 | n_transit=968026 | n_clusters=22 | n_aretes=6750838 | duree_s=48.4 | n_entree=25456467
2026-06-11 09:45:10 | ERROR   | pipeline | ❌ m4_commissions : [M4_commissions] RuntimeError: stats_par_service introuvable. Générer la référence via scripts/construire_reference_m4.py puis republier M4.
2026-06-11 09:45:10 | INFO    | inference.M5_echec | M5 chargé : LightGBM, 36 features (fuite contrôlée)
2026-06-11 09:45:28 | ERROR   | pipeline | ❌ m5_echec : [M5_echec] ValueError: train and valid dataset categorical_feature do not match.
2026-06-11 09:45:28 | INFO    | inference.M6_reconciliation | M6 chargé : préfixes complémentaires {'TC': 'CO', 'XX': 'RC'}
2026-06-11 09:46:42 | INFO    | inference.M6_reconciliation | Scoring terminé : 536 alertes en 74.3s
2026-06-11 09:46:42 | INFO    | inference.M6_reconciliation | Exports : ['M6_reconciliation_alertes.csv', 'M6_reconciliation_scores.parquet', 'M6_reconciliation_stats.json']
2026-06-11 09:46:42 | INFO    | monitoring.metrics | [m6_reconciliation] n_alertes=536 | n_a_reconcilier=102426 | n_auto_fiable=100156 | n_suggestion=1961 | n_manuel=309 | taux_auto_pct=97.8 | gain_heures=5008.0 | duree_s=74.3 | n_entree=25456467
2026-06-11 09:46:42 | INFO    | monitoring.metrics | Run 20260611_092817 finalisé (1104.7s)
2026-06-11 09:46:42 | INFO    | pipeline | ═══ RUN 20260611_092817 ⚠️ PARTIEL (3 échec(s)) → /home/koceila_salem_orange_com/ML/outputs/runs/20260611_092817 ═══
2026-06-11 10:09:14 | INFO    | cli.ref_m4 | Lecture /home/koceila_salem_orange_com/ML/data/processed/OM_clean.parquet
2026-06-11 10:09:24 | INFO    | cli.ref_m4 | ✅ Référence M4 : 13 services -> /home/koceila_salem_orange_com/ML/models/M4_commissions/stats_par_service.json
2026-06-11 10:09:24 | INFO    | cli.ref_m4 | Services : ['B2BCASHOUT', 'CASHIN', 'CASHOUT', 'DELSCR', 'ENT2REG', 'MERCHPAY', 'O2C', 'OPTW', 'P2P', 'RC', 'ROLLBACK', 'STOCK', 'TXNCORRECT']
2026-06-11 10:09:24 | INFO    | cli.ref_m4 | Republier M4 : supprimer models/M4_commissions/registry.json et le dossier de version, puis python scripts/publier_modeles.py
2026-06-11 10:10:51 | INFO    | cli.publier | M1_fraude : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:10:51 | INFO    | cli.publier | M2_mules : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:10:51 | INFO    | registry | Modèle M4_commissions publié : version 2026-06-11_v2
2026-06-11 10:10:51 | INFO    | cli.publier | M4_commissions publié -> 2026-06-11_v2
2026-06-11 10:10:51 | INFO    | cli.publier | M5_echec : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:10:51 | INFO    | cli.publier | M6_reconciliation : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:13:47 | INFO    | registry | Modèle M1_fraude publié : version 2026-06-11_v1
2026-06-11 10:13:47 | INFO    | cli.publier | M1_fraude publié -> 2026-06-11_v1
2026-06-11 10:13:47 | INFO    | cli.publier | M2_mules : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:13:47 | INFO    | cli.publier | M4_commissions : déjà publié (latest=2026-06-11_v2) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:13:47 | INFO    | cli.publier | M5_echec : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:13:47 | INFO    | cli.publier | M6_reconciliation : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:15:04 | INFO    | cli.ref_m4 | Lecture /home/koceila_salem_orange_com/ML/data/processed/OM_clean.parquet
2026-06-11 10:15:15 | INFO    | cli.ref_m4 | ✅ Référence M4 : 13 services -> /home/koceila_salem_orange_com/ML/models/M4_commissions/stats_par_service.json
2026-06-11 10:15:15 | INFO    | cli.ref_m4 | Services : ['B2BCASHOUT', 'CASHIN', 'CASHOUT', 'DELSCR', 'ENT2REG', 'MERCHPAY', 'O2C', 'OPTW', 'P2P', 'RC', 'ROLLBACK', 'STOCK', 'TXNCORRECT']
2026-06-11 10:15:15 | INFO    | cli.ref_m4 | Republier M4 : supprimer models/M4_commissions/registry.json et le dossier de version, puis python scripts/publier_modeles.py
2026-06-11 10:15:15 | INFO    | cli.drift_refs | Lecture /home/koceila_salem_orange_com/ML/data/processed/OM_clean.parquet (colonnes : ['TRANSACTION_AMOUNT'])
2026-06-11 10:15:17 | INFO    | cli.drift_refs | Référence TRANSACTION_AMOUNT : 25,456,467 obs
2026-06-11 10:15:17 | INFO    | cli.drift_refs | ✅ Références écrites : /home/koceila_salem_orange_com/ML/models/drift_references.json
2026-06-11 10:15:17 | INFO    | cli.publier | M1_fraude : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:15:17 | INFO    | cli.publier | M2_mules : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:15:17 | INFO    | registry | Modèle M4_commissions publié : version 2026-06-11_v1
2026-06-11 10:15:17 | INFO    | cli.publier | M4_commissions publié -> 2026-06-11_v1
2026-06-11 10:15:17 | INFO    | cli.publier | M5_echec : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:15:17 | INFO    | cli.publier | M6_reconciliation : déjà publié (latest=2026-06-11_v1) -> ignoré (supprimer registry.json pour republier)
2026-06-11 10:15:56 | INFO    | cli.ref_m4 | Lecture /home/koceila_salem_orange_com/ML/data/processed/OM_clean.parquet
2026-06-11 10:16:06 | INFO    | cli.ref_m4 | ✅ Référence M4 : 13 services -> /home/koceila_salem_orange_com/ML/models/M4_commissions/stats_par_service.json
